ID,groupe,Y_qualite, Z_qualite, couleur,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol
43,train,6,OK,rouge,7.5,0.49,0.20,2.60,0.332,8.0,14,0.99680,3.21,0.90,10.50
44,train,5,OK,rouge,8.1,0.66,0.22,2.20,0.069,9.0,23,0.99680,3.30,1.20,10.30
45,test,5,OK,rouge,6.8,0.67,0.02,1.80,0.050,5.0,11,0.99620,3.48,0.52,9.50
46,validate,4,Mauvais,rouge,4.6,0.52,0.15,2.10,0.054,8.0,65,0.99340,3.90,0.56,13.10
47,validate,5,OK,rouge,7.7,0.94,0.43,2.20,0.114,22.0,114,0.99700,3.25,0.73,9.20
48,train,5,OK,rouge,8.7,0.29,0.52,1.60,0.113,12.0,37,0.99690,3.25,0.58,9.50
49,train,5,OK,rouge,6.4,0.40,0.23,1.60,0.066,5.0,12,0.99580,3.34,0.56,9.20
50,train,5,OK,rouge,5.6,0.31,0.37,1.40,0.074,12.0,96,0.99540,3.32,0.58,9.20
51,validate,5,OK,rouge,8.8,0.66,0.26,1.70,0.074,4.0,23,0.99710,3.15,0.74,9.20
52,test,6,OK,rouge,6.6,0.52,0.04,2.20,0.069,8.0,15,0.99560,3.40,0.63,9.40
53,test,6,OK,rouge,6.6,0.50,0.04,2.10,0.068,6.0,14,0.99550,3.39,0.64,9.40
54,train,5,OK,rouge,8.6,0.38,0.36,3.00,0.081,30.0,119,0.99700,3.20,0.56,9.40
55,test,6,OK,rouge,7.6,0.51,0.15,2.80,0.110,33.0,73,0.99550,3.17,0.63,10.20
56,test,5,OK,rouge,7.7,0.62,0.04,3.80,0.084,25.0,45,0.99780,3.34,0.53,9.50
57,validate,5,OK,rouge,10.2,0.42,0.57,3.40,0.070,4.0,10,0.99710,3.04,0.63,9.60
58,validate,5,OK,rouge,7.5,0.63,0.12,5.10,0.111,50.0,110,0.99830,3.26,0.77,9.40
59,validate,5,OK,rouge,7.8,0.59,0.18,2.30,0.076,17.0,54,0.99750,3.43,0.59,10.00
60,train,6,OK,rouge,7.3,0.39,0.31,2.40,0.074,9.0,46,0.99620,3.41,0.54,9.40
61,validate,5,OK,rouge,8.8,0.40,0.40,2.20,0.079,19.0,52,0.99800,3.44,0.64,9.20
62,train,5,OK,rouge,7.7,0.69,0.49,1.80,0.115,20.0,112,0.99680,3.21,0.71,9.30
63,train,7,Bon,rouge,7.5,0.52,0.16,1.90,0.085,12.0,35,0.99680,3.38,0.62,9.50
64,train,5,OK,rouge,7.0,0.74,0.05,2.00,0.081,13.0,54,0.99660,3.39,0.57,9.80
65,test,5,OK,rouge,7.2,0.73,0.05,4.65,0.086,4.0,11,0.99620,3.41,0.39,10.90
66,train,5,OK,rouge,7.2,0.73,0.05,4.65,0.086,4.0,11,0.99620,3.41,0.39,10.90
67,train,5,OK,rouge,7.5,0.52,0.11,1.50,0.079,11.0,39,0.99680,3.42,0.58,9.60
68,test,5,OK,rouge,6.6,0.71,0.07,1.60,0.076,6.0,15,0.99620,3.44,0.58,10.70
69,validate,5,OK,rouge,9.3,0.32,0.57,2.00,0.074,27.0,65,0.99690,3.28,0.79,10.70
70,test,6,OK,rouge,8.0,0.71,0.05,1.90,0.074,8.0,19,0.99620,3.34,0.95,10.50
71,validate,6,OK,rouge,7.7,0.63,0.08,1.90,0.076,15.0,27,0.99670,3.32,0.54,9.50
72,train,5,OK,rouge,7.7,0.67,0.23,2.10,0.088,17.0,96,0.99620,3.32,0.48,9.50
73,train,5,OK,rouge,7.7,0.69,0.22,1.90,0.084,18.0,94,0.99610,3.31,0.48,9.50
74,train,4,Mauvais,rouge,8.3,0.68,0.26,2.10,0.084,11.0,43,0.99760,3.31,0.53,9.20
75,train,5,OK,rouge,9.7,0.32,0.54,2.50,0.094,28.0,83,0.99840,3.28,0.82,9.60
76,validate,5,OK,rouge,8.8,0.41,0.64,2.20,0.093,9.0,42,0.99860,3.54,0.66,10.50
77,train,5,OK,rouge,8.8,0.41,0.64,2.20,0.093,9.0,42,0.99860,3.54,0.66,10.50
78,validate,6,OK,rouge,6.8,0.79,0.00,2.40,0.104,14.0,30,0.99660,3.52,0.55,10.70
79,train,5,OK,rouge,6.7,0.75,0.12,2.00,0.086,12.0,80,0.99580,3.38,0.52,10.10
80,train,4,Mauvais,rouge,8.3,0.63,0.20,1.50,0.080,27.0,119,0.99720,3.16,1.12,9.10
81,validate,5,OK,rouge,6.2,0.45,0.20,1.60,0.069,3.0,15,0.99580,3.41,0.56,9.20
82,validate,5,OK,rouge,7.8,0.43,0.70,1.90,0.464,22.0,67,0.99740,3.13,1.28,9.40
83,train,5,OK,rouge,7.4,0.50,0.47,2.00,0.086,21.0,73,0.99700,3.36,0.57,9.10
84,train,5,OK,rouge,7.3,0.67,0.26,1.80,0.401,16.0,51,0.99690,3.16,1.14,9.40
85,train,6,OK,rouge,6.3,0.30,0.48,1.80,0.069,18.0,61,0.99590,3.44,0.78,10.30
86,train,5,OK,rouge,6.9,0.55,0.15,2.20,0.076,19.0,40,0.99610,3.41,0.59,10.10
87,validate,6,OK,rouge,8.6,0.49,0.28,1.90,0.110,20.0,136,0.99720,2.93,1.95,9.90
88,train,5,OK,rouge,7.7,0.49,0.26,1.90,0.062,9.0,31,0.99660,3.39,0.64,9.60
89,train,5,OK,rouge,9.3,0.39,0.44,2.10,0.107,34.0,125,0.99780,3.14,1.22,9.50
90,train,5,OK,rouge,7.0,0.62,0.08,1.80,0.076,8.0,24,0.99780,3.48,0.53,9.00
91,train,5,OK,rouge,7.9,0.52,0.26,1.90,0.079,42.0,140,0.99640,3.23,0.54,9.50
92,train,6,OK,rouge,8.6,0.49,0.28,1.90,0.110,20.0,136,0.99720,2.93,1.95,9.90
93,test,5,OK,rouge,8.6,0.49,0.29,2.00,0.110,19.0,133,0.99720,2.93,1.98,9.80
94,train,5,OK,rouge,7.7,0.49,0.26,1.90,0.062,9.0,31,0.99660,3.39,0.64,9.60
95,train,4,Mauvais,rouge,5.0,1.02,0.04,1.40,0.045,41.0,85,0.99380,3.75,0.48,10.50
96,train,6,OK,rouge,4.7,0.60,0.17,2.30,0.058,17.0,106,0.99320,3.85,0.60,12.90
97,validate,5,OK,rouge,6.8,0.78,0.00,3.00,0.102,8.0,23,0.99650,3.45,0.56,10.70
98,train,5,OK,rouge,7.0,0.50,0.25,2.00,0.070,3.0,22,0.99630,3.25,0.63,9.20
99,train,5,OK,rouge,7.6,0.90,0.06,2.50,0.079,5.0,10,0.99670,3.39,0.56,9.80
100,train,6,OK,rouge,8.1,0.55,0.18,1.90,0.080,13.0,35,0.99720,3.30,0.59,9.00
101,validate,6,OK,rouge,8.3,0.61,0.30,2.10,0.084,11.0,50,0.99720,3.40,0.61,10.20
102,train,6,OK,rouge,7.8,0.50,0.30,1.90,0.075,8.0,22,0.99590,3.31,0.56,10.40
103,test,6,OK,rouge,8.1,0.55,0.18,1.90,0.080,13.0,35,0.99720,3.30,0.59,9.00
104,train,5,OK,rouge,8.1,0.58,0.22,2.10,0.077,12.0,65,0.99670,3.29,0.51,9.20
105,train,5,OK,rouge,7.2,0.49,0.24,2.20,0.070,5.0,36,0.99600,3.33,0.48,9.40
106,train,5,OK,rouge,8.1,0.58,0.22,2.10,0.077,12.0,65,0.99670,3.29,0.51,9.20
107,train,5,OK,rouge,7.8,0.41,0.68,1.70,0.467,18.0,69,0.99730,3.08,1.31,9.30
108,train,5,OK,rouge,6.2,0.63,0.31,1.70,0.088,15.0,64,0.99690,3.46,0.79,9.30
109,test,6,OK,rouge,8.0,0.33,0.53,2.50,0.091,18.0,80,0.99760,3.37,0.80,9.60
110,train,5,OK,rouge,8.1,0.79,0.52,2.00,0.122,37.0,153,0.99690,3.21,0.69,9.30
111,train,5,OK,rouge,7.8,0.56,0.19,1.80,0.104,12.0,47,0.99640,3.19,0.93,9.50
112,train,5,OK,rouge,8.4,0.62,0.09,2.20,0.084,11.0,108,0.99640,3.15,0.66,9.80
113,test,5,OK,rouge,8.4,0.60,0.10,2.20,0.085,14.0,111,0.99640,3.15,0.66,9.80
114,train,6,OK,rouge,10.1,0.31,0.44,2.30,0.080,22.0,46,0.99880,3.32,0.67,9.70
115,train,5,OK,rouge,7.8,0.56,0.19,1.80,0.104,12.0,47,0.99640,3.19,0.93,9.50
116,train,6,OK,rouge,9.4,0.40,0.31,2.20,0.090,13.0,62,0.99660,3.07,0.63,10.50
117,train,6,OK,rouge,8.3,0.54,0.28,1.90,0.077,11.0,40,0.99780,3.39,0.61,10.00
118,train,6,OK,rouge,7.8,0.56,0.12,2.00,0.082,7.0,28,0.99700,3.37,0.50,9.40
119,validate,6,OK,rouge,8.8,0.55,0.04,2.20,0.119,14.0,56,0.99620,3.21,0.60,10.90
120,train,6,OK,rouge,7.0,0.69,0.08,1.80,0.097,22.0,89,0.99590,3.34,0.54,9.20
121,train,5,OK,rouge,7.3,1.07,0.09,1.70,0.178,10.0,89,0.99620,3.30,0.57,9.00
122,validate,6,OK,rouge,8.8,0.55,0.04,2.20,0.119,14.0,56,0.99620,3.21,0.60,10.90
123,test,5,OK,rouge,7.3,0.70,0.00,2.50,0.075,3.0,13,0.99800,3.49,0.52,9.20
124,train,5,OK,rouge,8.0,0.71,0.00,2.60,0.080,11.0,34,0.99760,3.44,0.53,9.50
125,train,5,OK,rouge,7.8,0.50,0.17,1.60,0.082,21.0,102,0.99600,3.39,0.48,9.50
126,train,5,OK,rouge,9.0,0.62,0.04,1.90,0.146,27.0,90,0.99840,3.16,0.70,9.40
127,train,5,OK,rouge,8.2,1.33,0.00,1.70,0.081,3.0,12,0.99640,3.53,0.49,10.90
128,train,5,OK,rouge,8.1,1.33,0.00,1.80,0.082,3.0,12,0.99640,3.54,0.48,10.90
129,validate,7,Bon,rouge,8.0,0.59,0.16,1.80,0.065,3.0,16,0.99620,3.42,0.92,10.50
130,train,5,OK,rouge,6.1,0.38,0.15,1.80,0.072,6.0,19,0.99550,3.42,0.57,9.40
131,train,5,OK,rouge,8.0,0.75,0.56,2.00,0.118,30.0,134,0.99680,3.24,0.66,9.40
132,train,5,OK,rouge,5.6,0.50,0.09,2.30,0.049,17.0,99,0.99370,3.63,0.63,13.00
133,validate,5,OK,rouge,5.6,0.50,0.09,2.30,0.049,17.0,99,0.99370,3.63,0.63,13.00
134,train,6,OK,rouge,6.6,0.50,0.01,1.50,0.060,17.0,26,0.99520,3.40,0.58,9.80
135,test,6,OK,rouge,7.9,1.04,0.05,2.20,0.084,13.0,29,0.99590,3.22,0.55,9.90
136,validate,5,OK,rouge,8.4,0.75,0.11,1.90,0.090,16.0,63,0.99650,3.19,0.82,9.60
137,test,5,OK,rouge,8.3,0.72,0.15,1.80,0.089,10.0,52,0.99680,3.23,0.77,9.50
138,train,5,OK,rouge,7.2,0.42,0.36,2.00,0.081,13.0,45,0.99720,3.48,0.64,9.20
139,validate,5,OK,rouge,7.8,0.56,0.19,2.10,0.081,15.0,105,0.99620,3.33,0.54,9.50
140,train,5,OK,rouge,7.8,0.56,0.19,2.00,0.081,17.0,108,0.99620,3.32,0.54,9.50
141,train,5,OK,rouge,8.4,0.75,0.11,1.90,0.090,16.0,63,0.99650,3.19,0.82,9.60
142,train,5,OK,rouge,8.3,0.72,0.15,1.80,0.089,10.0,52,0.99680,3.23,0.77,9.50
143,validate,6,OK,rouge,5.2,0.34,0.00,1.80,0.050,27.0,63,0.99160,3.68,0.79,14.00
144,train,5,OK,rouge,6.3,0.39,0.08,1.70,0.066,3.0,20,0.99540,3.34,0.58,9.40
145,train,6,OK,rouge,5.2,0.34,0.00,1.80,0.050,27.0,63,0.99160,3.68,0.79,14.00
146,train,5,OK,rouge,8.1,0.67,0.55,1.80,0.117,32.0,141,0.99680,3.17,0.62,9.40
147,train,5,OK,rouge,5.8,0.68,0.02,1.80,0.087,21.0,94,0.99440,3.54,0.52,10.00
148,validate,5,OK,rouge,7.6,0.49,0.26,1.60,0.236,10.0,88,0.99680,3.11,0.80,9.30
149,test,6,OK,rouge,6.9,0.49,0.10,2.30,0.074,12.0,30,0.99590,3.42,0.58,10.20
150,validate,6,OK,rouge,8.2,0.40,0.44,2.80,0.089,11.0,43,0.99750,3.53,0.61,10.50
151,train,6,OK,rouge,7.3,0.33,0.47,2.10,0.077,5.0,11,0.99580,3.33,0.53,10.30
152,test,4,Mauvais,rouge,9.2,0.52,1.00,3.40,0.610,32.0,69,0.99960,2.74,2.00,9.40
153,validate,5,OK,rouge,7.5,0.60,0.03,1.80,0.095,25.0,99,0.99500,3.35,0.54,10.10
154,train,5,OK,rouge,7.5,0.60,0.03,1.80,0.095,25.0,99,0.99500,3.35,0.54,10.10
155,validate,5,OK,rouge,7.1,0.43,0.42,5.50,0.070,29.0,129,0.99730,3.42,0.72,10.50
156,train,5,OK,rouge,7.1,0.43,0.42,5.50,0.071,28.0,128,0.99730,3.42,0.71,10.50
157,train,5,OK,rouge,7.1,0.43,0.42,5.50,0.070,29.0,129,0.99730,3.42,0.72,10.50
158,train,5,OK,rouge,7.1,0.43,0.42,5.50,0.071,28.0,128,0.99730,3.42,0.71,10.50
159,train,5,OK,rouge,7.1,0.68,0.00,2.20,0.073,12.0,22,0.99690,3.48,0.50,9.30
160,validate,6,OK,rouge,6.8,0.60,0.18,1.90,0.079,18.0,86,0.99680,3.59,0.57,9.30
161,test,5,OK,rouge,7.6,0.95,0.03,2.00,0.090,7.0,20,0.99590,3.20,0.56,9.60
162,train,4,Mauvais,rouge,7.6,0.68,0.02,1.30,0.072,9.0,20,0.99650,3.17,1.08,9.20
163,validate,6,OK,rouge,7.8,0.53,0.04,1.70,0.076,17.0,31,0.99640,3.33,0.56,10.00
164,train,5,OK,rouge,7.4,0.60,0.26,7.30,0.070,36.0,121,0.99820,3.37,0.49,9.40
165,validate,5,OK,rouge,7.3,0.59,0.26,7.20,0.070,35.0,121,0.99810,3.37,0.49,9.40
166,train,5,OK,rouge,7.8,0.63,0.48,1.70,0.100,14.0,96,0.99610,3.19,0.62,9.50
167,test,5,OK,rouge,6.8,0.64,0.10,2.10,0.085,18.0,101,0.99560,3.34,0.52,10.20
168,test,4,Mauvais,rouge,7.3,0.55,0.03,1.60,0.072,17.0,42,0.99560,3.37,0.48,9.00
169,train,6,OK,rouge,6.8,0.63,0.07,2.10,0.089,11.0,44,0.99530,3.47,0.55,10.40
170,validate,5,OK,rouge,7.5,0.71,0.24,1.80,0.360,15.0,63,0.99640,3.00,1.59,9.50
171,test,4,Mauvais,rouge,7.9,0.89,0.03,1.80,0.058,4.0,8,0.99720,3.36,0.33,9.10
172,test,6,OK,rouge,8.0,0.42,0.17,2.00,0.073,6.0,18,0.99720,3.29,0.61,9.20
173,test,6,OK,rouge,8.0,0.42,0.17,2.00,0.073,6.0,18,0.99720,3.29,0.61,9.20
174,train,6,OK,rouge,7.4,0.62,0.05,1.90,0.068,24.0,42,0.99610,3.42,0.57,11.50
175,train,5,OK,rouge,7.3,0.38,0.21,2.00,0.080,7.0,35,0.99610,3.33,0.47,9.50
176,test,5,OK,rouge,6.9,0.50,0.04,1.50,0.085,19.0,49,0.99580,3.35,0.78,9.50
177,train,5,OK,rouge,7.3,0.38,0.21,2.00,0.080,7.0,35,0.99610,3.33,0.47,9.50
178,train,6,OK,rouge,7.5,0.52,0.42,2.30,0.087,8.0,38,0.99720,3.58,0.61,10.50
179,test,5,OK,rouge,7.0,0.81,0.00,2.50,0.068,7.0,20,0.99690,3.48,0.56,9.60
180,train,5,OK,rouge,8.8,0.61,0.14,2.40,0.067,10.0,42,0.99690,3.19,0.59,9.50
181,test,5,OK,rouge,8.8,0.61,0.14,2.40,0.067,10.0,42,0.99690,3.19,0.59,9.50
182,train,5,OK,rouge,8.9,0.61,0.49,2.00,0.270,23.0,110,0.99720,3.12,1.02,9.30
183,train,5,OK,rouge,7.2,0.73,0.02,2.50,0.076,16.0,42,0.99720,3.44,0.52,9.30
184,validate,5,OK,rouge,6.8,0.61,0.20,1.80,0.077,11.0,65,0.99710,3.54,0.58,9.30
185,train,6,OK,rouge,6.7,0.62,0.21,1.90,0.079,8.0,62,0.99700,3.52,0.58,9.30
186,train,5,OK,rouge,8.9,0.31,0.57,2.00,0.111,26.0,85,0.99710,3.26,0.53,9.70
187,train,5,OK,rouge,7.4,0.39,0.48,2.00,0.082,14.0,67,0.99720,3.34,0.55,9.20
188,train,5,OK,rouge,7.7,0.71,0.10,2.60,0.084,9.0,26,0.99760,3.39,0.49,9.70
189,train,5,OK,rouge,7.9,0.50,0.33,2.00,0.084,15.0,143,0.99680,3.20,0.55,9.50
190,train,5,OK,rouge,7.9,0.49,0.32,1.90,0.082,17.0,144,0.99680,3.20,0.55,9.50
191,train,5,OK,rouge,8.2,0.50,0.35,2.90,0.077,21.0,127,0.99760,3.23,0.62,9.40
192,validate,6,OK,rouge,6.4,0.37,0.25,1.90,0.074,21.0,49,0.99740,3.57,0.62,9.80
193,train,5,OK,rouge,6.8,0.63,0.12,3.80,0.099,16.0,126,0.99690,3.28,0.61,9.50
194,test,5,OK,rouge,7.6,0.55,0.21,2.20,0.071,7.0,28,0.99640,3.28,0.55,9.70
195,train,5,OK,rouge,7.6,0.55,0.21,2.20,0.071,7.0,28,0.99640,3.28,0.55,9.70
196,train,5,OK,rouge,7.8,0.59,0.33,2.00,0.074,24.0,120,0.99680,3.25,0.54,9.40
197,train,5,OK,rouge,7.3,0.58,0.30,2.40,0.074,15.0,55,0.99680,3.46,0.59,10.20
198,train,6,OK,rouge,11.5,0.30,0.60,2.00,0.067,12.0,27,0.99810,3.11,0.97,10.10
199,validate,7,Bon,rouge,5.4,0.84,0.08,1.20,0.046,13.0,93,0.99240,3.57,0.85,13.00
200,validate,4,Mauvais,rouge,6.9,1.09,0.06,2.10,0.061,12.0,31,0.99480,3.51,0.43,11.40
201,train,7,Bon,rouge,9.6,0.32,0.47,1.40,0.056,9.0,24,0.99695,3.22,0.82,10.30
202,validate,5,OK,rouge,8.8,0.37,0.48,2.10,0.097,39.0,145,0.99750,3.04,1.03,9.30
203,train,5,OK,rouge,6.8,0.50,0.11,1.50,0.075,16.0,49,0.99545,3.36,0.79,9.50
204,train,5,OK,rouge,7.0,0.42,0.35,1.60,0.088,16.0,39,0.99610,3.34,0.55,9.20
205,train,6,OK,rouge,7.0,0.43,0.36,1.60,0.089,14.0,37,0.99615,3.34,0.56,9.20
206,validate,7,Bon,rouge,12.8,0.30,0.74,2.60,0.095,9.0,28,0.99940,3.20,0.77,10.80
207,train,7,Bon,rouge,12.8,0.30,0.74,2.60,0.095,9.0,28,0.99940,3.20,0.77,10.80
208,train,5,OK,rouge,7.8,0.57,0.31,1.80,0.069,26.0,120,0.99625,3.29,0.53,9.30
209,train,5,OK,rouge,7.8,0.44,0.28,2.70,0.100,18.0,95,0.99660,3.22,0.67,9.40
210,train,7,Bon,rouge,11.0,0.30,0.58,2.10,0.054,7.0,19,0.99800,3.31,0.88,10.50
211,validate,6,OK,rouge,9.7,0.53,0.60,2.00,0.039,5.0,19,0.99585,3.30,0.86,12.40
212,train,6,OK,rouge,8.0,0.73,0.24,2.80,0.083,10.0,62,0.99685,3.35,0.56,10.00
213,train,6,OK,rouge,11.6,0.44,0.64,2.10,0.059,5.0,15,0.99800,3.21,0.67,10.20
214,validate,5,OK,rouge,8.2,0.57,0.26,2.20,0.060,28.0,65,0.99590,3.30,0.43,10.10
215,train,6,OK,rouge,7.8,0.74,0.08,2.40,0.092,10.0,41,0.99740,3.24,0.71,9.80
216,test,5,OK,rouge,7.0,0.49,0.49,5.60,0.060,26.0,121,0.99740,3.34,0.76,10.50
217,train,5,OK,rouge,8.7,0.63,0.16,2.00,0.101,13.0,49,0.99620,3.14,0.57,11.00
218,validate,5,OK,rouge,8.1,0.73,0.22,2.20,0.072,11.0,41,0.99670,3.36,0.55,9.10
219,validate,5,OK,rouge,7.5,0.49,0.19,1.90,0.076,10.0,44,0.99570,3.39,0.54,9.70
220,train,5,OK,rouge,7.8,0.53,0.33,2.40,0.080,24.0,144,0.99655,3.30,0.60,9.50
221,validate,6,OK,rouge,7.8,0.34,0.37,2.00,0.082,24.0,58,0.99640,3.34,0.59,9.40
222,train,5,OK,rouge,7.4,0.53,0.26,2.00,0.101,16.0,72,0.99570,3.15,0.57,9.40
223,test,5,OK,rouge,6.8,0.61,0.04,1.50,0.057,5.0,10,0.99525,3.42,0.60,9.50
224,train,6,OK,rouge,8.6,0.65,0.25,2.00,0.083,8.0,28,0.99815,3.28,0.60,10.00
225,train,4,Mauvais,rouge,8.4,0.64,0.36,2.00,0.089,15.0,55,0.99745,3.31,0.57,10.40
226,train,6,OK,rouge,7.7,0.43,0.25,2.60,0.073,29.0,63,0.99615,3.37,0.58,10.50
227,train,6,OK,rouge,8.9,0.59,0.50,2.00,0.337,27.0,81,0.99640,3.04,1.61,9.50
228,train,5,OK,rouge,9.0,0.82,0.14,2.60,0.089,9.0,23,0.99840,3.39,0.63,9.80
229,train,6,OK,rouge,7.7,0.43,0.25,2.60,0.073,29.0,63,0.99615,3.37,0.58,10.50
230,train,5,OK,rouge,6.9,0.52,0.25,2.60,0.081,10.0,37,0.99685,3.46,0.50,11.00
231,train,7,Bon,rouge,5.2,0.48,0.04,1.60,0.054,19.0,106,0.99270,3.54,0.62,12.20
232,test,6,OK,rouge,8.0,0.38,0.06,1.80,0.078,12.0,49,0.99625,3.37,0.52,9.90
233,test,6,OK,rouge,8.5,0.37,0.20,2.80,0.090,18.0,58,0.99800,3.34,0.70,9.60
234,train,5,OK,rouge,6.9,0.52,0.25,2.60,0.081,10.0,37,0.99685,3.46,0.50,11.00
235,train,6,OK,rouge,8.2,1.00,0.09,2.30,0.065,7.0,37,0.99685,3.32,0.55,9.00
236,train,6,OK,rouge,7.2,0.63,0.00,1.90,0.097,14.0,38,0.99675,3.37,0.58,9.00
237,validate,6,OK,rouge,7.2,0.63,0.00,1.90,0.097,14.0,38,0.99675,3.37,0.58,9.00
238,train,6,OK,rouge,7.2,0.65,0.00,1.90,0.097,15.0,39,0.99675,3.37,0.58,9.20
239,train,6,OK,rouge,7.2,0.63,0.00,1.90,0.097,14.0,38,0.99675,3.37,0.58,9.00
240,train,6,OK,rouge,8.2,1.00,0.09,2.30,0.065,7.0,37,0.99685,3.32,0.55,9.00
241,validate,5,OK,rouge,8.9,0.64,0.37,1.70,0.263,5.0,62,0.99710,3.00,1.09,9.30
242,train,6,OK,rouge,12.0,0.38,0.56,2.10,0.093,6.0,24,0.99925,3.14,0.71,10.90
243,train,6,OK,rouge,7.7,0.58,0.10,1.80,0.102,28.0,109,0.99565,3.08,0.49,9.80
244,train,7,Bon,rouge,15.0,0.21,0.44,2.20,0.075,10.0,24,1.00005,3.07,0.84,9.20
