CT,X1_CRIM,X2_NOX,X3_AGE,X4_DIS,X5_RM,X6_LSTAT,X7_RAD,X8_ CHAS,X9_NDUS,X10_TAX,X11_PT,Y_MV,GROUP,X12_RLZ
51,0.08873,0.439,45.7,6.8147,5.963,13.45,4,0,5.64,243,16.8,19.7,M,21.0
52,0.04337,0.439,63.0,6.8147,6.115,9.43,4,0,5.64,243,16.8,20.5,M,21.0
53,0.05360,0.439,21.1,6.8147,6.511,5.28,4,0,5.64,243,16.8,25.0,M,21.0
54,0.04981,0.439,21.4,6.8147,5.998,8.43,4,0,5.64,243,16.8,23.4,M,21.0
55,0.01360,0.410,47.6,7.3197,5.888,14.80,3,0,4,469,21.1,18.9,M,75.0
56,0.01311,0.403,21.9,8.6966,7.249,4.81,5,0,1.22,226,17.9,35.4,M,90.0
57,0.02055,0.410,35.7,9.1876,6.383,5.77,2,0,0.74,313,17.3,24.7,M,85.0
58,0.01432,0.411,40.5,8.3248,6.816,3.95,5,0,1.32,256,15.1,31.6,M,100.0
59,0.15445,0.453,29.2,7.8148,6.145,6.86,8,0,5.13,284,19.7,23.3,M,25.0
60,0.10328,0.453,47.2,6.9320,5.927,9.22,8,0,5.13,284,19.7,19.6,M,25.0
61,0.14932,0.453,66.2,7.2254,5.741,13.15,8,0,5.13,284,19.7,18.7,M,25.0
62,0.17171,0.453,93.4,6.8185,5.966,14.44,8,0,5.13,284,19.7,16.0,M,25.0
63,0.11027,0.453,67.8,7.2255,6.456,6.73,8,0,5.13,284,19.7,22.2,M,25.0
64,0.12650,0.453,43.4,7.9809,6.762,9.50,8,0,5.13,284,19.7,25.0,M,25.0
65,0.01951,0.416,59.5,9.2229,7.104,8.05,3,0,1.38,216,18.6,33.0,M,17.5
66,0.03584,0.398,17.8,6.6115,6.290,4.67,4,0,3.37,337,16.1,23.5,M,80.0
67,0.04379,0.398,31.1,6.6115,5.787,10.24,4,0,3.37,337,16.1,19.4,T,80.0
68,0.05789,0.409,21.4,6.4980,5.878,8.10,4,0,6.07,345,18.9,22.0,M,12.5
69,0.13554,0.409,36.8,6.4980,5.594,13.09,4,0,6.07,345,18.9,17.4,M,12.5
70,0.12816,0.409,33.0,6.4980,5.885,8.79,4,0,6.07,345,18.9,20.9,M,12.5
71,0.08826,0.413,6.6,5.2873,6.417,6.72,4,0,10.81,305,19.2,24.2,M,0.0
72,0.15876,0.413,17.5,5.2873,5.961,9.88,4,0,10.81,305,19.2,21.7,M,0.0
73,0.09164,0.413,7.8,5.2873,6.065,5.52,4,0,10.81,305,19.2,22.8,T,0.0
74,0.19539,0.413,6.2,5.2873,6.245,7.54,4,0,10.81,305,19.2,23.4,T,0.0
75,0.07896,0.437,6.0,4.2515,6.273,6.78,5,0,12.83,398,18.7,24.1,M,0.0
76,0.09512,0.437,45.0,4.5026,6.286,8.94,5,0,12.83,398,18.7,21.4,T,0.0
77,0.10153,0.437,74.5,4.0522,6.279,11.97,5,0,12.83,398,18.7,20.0,M,0.0
78,0.08707,0.437,45.8,4.0905,6.140,10.27,5,0,12.83,398,18.7,20.8,T,0.0
79,0.05646,0.437,53.7,5.0141,6.232,12.34,5,0,12.83,398,18.7,21.2,M,0.0
80,0.08387,0.437,36.6,4.5026,5.874,9.10,5,0,12.83,398,18.7,20.3,M,0.0
81,0.04113,0.426,33.5,5.4007,6.727,5.29,4,0,4.86,281,19.0,28.0,T,25.0
82,0.04462,0.426,70.4,5.4007,6.619,7.22,4,0,4.86,281,19.0,23.9,M,25.0
83,0.03659,0.426,32.2,5.4007,6.302,6.72,4,0,4.86,281,19.0,24.8,M,25.0
84,0.03551,0.426,46.7,5.4007,6.167,7.51,4,0,4.86,281,19.0,22.9,M,25.0
85,0.05059,0.449,48.0,4.7794,6.389,9.62,3,0,4.49,247,18.5,23.9,M,0.0
86,0.05735,0.449,56.1,4.4377,6.630,6.53,3,0,4.49,247,18.5,26.6,M,0.0
87,0.05188,0.449,45.1,4.4272,6.015,12.86,3,0,4.49,247,18.5,22.5,M,0.0
88,0.07151,0.449,56.8,3.7476,6.121,8.44,3,0,4.49,247,18.5,22.2,M,0.0
89,0.05660,0.489,86.3,3.4217,7.007,5.50,2,0,3.41,270,17.8,23.6,M,0.0
90,0.05302,0.489,63.1,3.4145,7.079,5.70,2,0,3.41,270,17.8,28.7,M,0.0
91,0.04684,0.489,66.1,3.0923,6.417,8.81,2,0,3.41,270,17.8,22.6,T,0.0
92,0.03932,0.489,73.9,3.0921,6.405,8.20,2,0,3.41,270,17.8,22.0,M,0.0
93,0.04203,0.464,53.6,3.6659,6.442,8.16,4,0,15.04,270,18.2,22.9,M,28.0
94,0.02875,0.464,28.9,3.6659,6.211,6.21,4,0,15.04,270,18.2,25.0,M,28.0
95,0.04294,0.464,77.3,3.6150,6.249,10.59,4,0,15.04,270,18.2,20.6,M,28.0
96,0.12204,0.445,57.8,3.4952,6.625,6.65,2,0,2.89,276,18.0,28.4,M,0.0
97,0.11504,0.445,69.6,3.4952,6.163,11.34,2,0,2.89,276,18.0,21.4,M,0.0
98,0.12083,0.445,76.0,3.4952,8.069,4.21,2,0,2.89,276,18.0,38.7,T,0.0
99,0.08187,0.445,36.9,3.4952,7.820,3.57,2,0,2.89,276,18.0,43.8,M,0.0
100,0.06860,0.445,62.5,3.4952,7.416,6.19,2,0,2.89,276,18.0,33.2,M,0.0
101,0.14866,0.520,79.9,2.7778,6.727,9.42,5,0,8.56,384,20.9,27.5,M,0.0
102,0.11432,0.520,71.3,2.8561,6.781,7.67,5,0,8.56,384,20.9,26.5,M,0.0
103,0.22876,0.520,85.4,2.7147,6.405,10.63,5,0,8.56,384,20.9,18.6,M,0.0
104,0.21161,0.520,87.4,2.7147,6.137,13.44,5,0,8.56,384,20.9,19.3,M,0.0
105,0.13960,0.520,90.0,2.4210,6.167,12.33,5,0,8.56,384,20.9,20.1,M,0.0
106,0.13262,0.520,96.7,2.1069,5.851,16.47,5,0,8.56,384,20.9,19.5,M,0.0
107,0.17120,0.520,91.9,2.2110,5.836,18.66,5,0,8.56,384,20.9,19.5,M,0.0
108,0.13117,0.520,85.2,2.1224,6.127,14.09,5,0,8.56,384,20.9,20.4,M,0.0
109,0.12802,0.520,97.1,2.4329,6.474,12.27,5,0,8.56,384,20.9,19.8,T,0.0
110,0.26363,0.520,91.2,2.5451,6.229,15.55,5,0,8.56,384,20.9,19.4,T,0.0
111,0.10793,0.520,54.4,2.7778,6.195,13.00,5,0,8.56,384,20.9,21.7,M,0.0
112,0.10084,0.547,81.6,2.6775,6.715,10.16,6,0,10.01,432,17.8,22.8,M,0.0
113,0.12329,0.547,92.9,2.3534,5.913,16.21,6,0,10.01,432,17.8,18.8,M,0.0
114,0.22212,0.547,95.4,2.5480,6.092,17.09,6,0,10.01,432,17.8,18.7,T,0.0
115,0.14231,0.547,84.2,2.2565,6.254,10.45,6,0,10.01,432,17.8,18.5,M,0.0
116,0.17134,0.547,88.2,2.4631,5.928,15.76,6,0,10.01,432,17.8,18.3,M,0.0
117,0.13158,0.547,72.5,2.7301,6.176,12.04,6,0,10.01,432,17.8,21.2,T,0.0
118,0.15098,0.547,82.6,2.7474,6.021,10.30,6,0,10.01,432,17.8,19.2,M,0.0
119,0.13058,0.547,73.1,2.4775,5.872,15.37,6,0,10.01,432,17.8,20.4,M,0.0
120,0.14476,0.547,65.2,2.7592,5.731,13.61,6,0,10.01,432,17.8,19.3,M,0.0
121,0.06899,0.581,69.7,2.2577,5.870,14.37,2,0,25.65,188,19.1,22.0,M,0.0
122,0.07165,0.581,84.1,2.1974,6.004,14.27,2,0,25.65,188,19.1,20.3,M,0.0
123,0.09299,0.581,92.9,2.0869,5.961,17.93,2,0,25.65,188,19.1,20.5,M,0.0
124,0.15038,0.581,97.0,1.9444,5.856,25.41,2,0,25.65,188,19.1,17.3,M,0.0
125,0.09849,0.581,95.8,2.0063,5.879,17.58,2,0,25.65,188,19.1,18.8,M,0.0
126,0.16902,0.581,88.4,1.9929,5.986,14.81,2,0,25.65,188,19.1,21.4,M,0.0
127,0.38735,0.581,95.6,1.7572,5.613,27.26,2,0,25.65,188,19.1,15.7,T,0.0
128,0.25915,0.624,96.0,1.7883,5.693,17.19,4,0,21.89,437,21.2,16.2,M,0.0
129,0.32543,0.624,98.8,1.8125,6.431,15.39,4,0,21.89,437,21.2,18.0,M,0.0
130,0.88125,0.624,94.7,1.9799,5.637,18.34,4,0,21.89,437,21.2,14.3,M,0.0
131,0.34006,0.624,98.9,2.1185,6.458,12.60,4,0,21.89,437,21.2,19.2,M,0.0
132,1.19294,0.624,97.7,2.2710,6.326,12.26,4,0,21.89,437,21.2,19.6,T,0.0
133,0.59005,0.624,97.9,2.3274,6.372,11.12,4,0,21.89,437,21.2,23.0,M,0.0
134,0.32982,0.624,95.4,2.4699,5.822,15.03,4,0,21.89,437,21.2,18.4,T,0.0
135,0.97617,0.624,98.4,2.3460,5.757,17.31,4,0,21.89,437,21.2,15.6,M,0.0
136,0.55778,0.624,98.2,2.1107,6.335,16.96,4,0,21.89,437,21.2,18.1,M,0.0
137,0.32264,0.624,93.5,1.9669,5.942,16.90,4,0,21.89,437,21.2,17.4,M,0.0
138,0.35233,0.624,98.4,1.8498,6.454,14.59,4,0,21.89,437,21.2,17.1,M,0.0
139,0.24980,0.624,98.2,1.6686,5.857,21.32,4,0,21.89,437,21.2,13.3,M,0.0
140,0.54452,0.624,97.9,1.6687,6.151,18.46,4,0,21.89,437,21.2,17.8,T,0.0
141,0.29090,0.624,93.6,1.6119,6.174,24.16,4,0,21.89,437,21.2,14.0,T,0.0
142,1.62864,0.624,100.0,1.4394,5.019,34.41,4,0,21.89,437,21.2,14.4,M,0.0
143,3.32105,0.871,100.0,1.3216,5.403,26.82,5,1,19.58,403,14.7,13.4,M,0.0
144,4.09740,0.871,100.0,1.4118,5.468,26.42,5,0,19.58,403,14.7,15.6,T,0.0
145,2.77974,0.871,97.8,1.3459,4.903,29.29,5,0,19.58,403,14.7,11.8,M,0.0
146,2.37934,0.871,100.0,1.4191,6.130,27.80,5,0,19.58,403,14.7,13.8,M,0.0
147,2.15505,0.871,100.0,1.5166,5.628,16.65,5,0,19.58,403,14.7,15.6,M,0.0
148,2.36862,0.871,95.7,1.4608,4.926,29.53,5,0,19.58,403,14.7,14.6,M,0.0
149,2.33099,0.871,93.8,1.5296,5.186,28.32,5,0,19.58,403,14.7,17.8,M,0.0
150,2.73397,0.871,94.9,1.5257,5.597,21.45,5,0,19.58,403,14.7,15.4,M,0.0
151,1.65660,0.871,97.3,1.6180,6.122,14.10,5,0,19.58,403,14.7,21.5,T,0.0
152,1.49632,0.871,100.0,1.5916,5.404,13.28,5,0,19.58,403,14.7,19.6,M,0.0
153,1.12658,0.871,88.0,1.6102,5.012,12.12,5,1,19.58,403,14.7,15.3,M,0.0
154,2.14918,0.871,98.5,1.6232,5.709,15.79,5,0,19.58,403,14.7,19.4,M,0.0
155,1.41385,0.871,96.0,1.7494,6.129,15.12,5,1,19.58,403,14.7,17.0,M,0.0
156,3.53501,0.871,82.6,1.7455,6.152,15.02,5,1,19.58,403,14.7,15.6,M,0.0
157,2.44668,0.871,94.0,1.7364,5.272,16.14,5,0,19.58,403,14.7,13.1,M,0.0
158,1.22358,0.605,97.4,1.8773,6.943,4.59,5,0,19.58,403,14.7,41.3,M,0.0
159,1.34284,0.605,100.0,1.7573,6.066,6.43,5,0,19.58,403,14.7,24.3,M,0.0
160,1.42502,0.871,100.0,1.7659,6.510,7.39,5,0,19.58,403,14.7,23.3,M,0.0
161,1.27346,0.605,92.6,1.7984,6.250,5.50,5,1,19.58,403,14.7,27.0,M,0.0
162,1.46336,0.605,90.8,1.9709,7.489,1.73,5,0,19.58,403,14.7,50.0,M,0.0
163,1.83377,0.605,98.2,2.0407,7.802,1.92,5,1,19.58,403,14.7,50.0,M,0.0
164,1.51902,0.605,93.9,2.1620,8.375,3.32,5,1,19.58,403,14.7,50.0,T,0.0
165,2.24236,0.605,91.8,2.4220,5.854,11.64,5,0,19.58,403,14.7,22.7,M,0.0
166,2.92400,0.605,93.0,2.2834,6.101,9.81,5,0,19.58,403,14.7,25.0,M,0.0
167,2.01019,0.605,96.2,2.0459,7.929,3.70,5,0,19.58,403,14.7,50.0,M,0.0
168,1.80028,0.605,79.2,2.4259,5.877,12.14,5,0,19.58,403,14.7,23.8,M,0.0
169,2.30040,0.605,96.1,2.1000,6.319,11.10,5,0,19.58,403,14.7,23.8,T,0.0
170,2.44953,0.605,95.2,2.2625,6.402,11.32,5,0,19.58,403,14.7,22.3,M,0.0
171,1.20742,0.605,94.6,2.4259,5.875,14.43,5,0,19.58,403,14.7,17.4,M,0.0
172,2.31390,0.605,97.3,2.3887,5.880,12.03,5,0,19.58,403,14.7,19.1,T,0.0
173,0.13914,0.510,88.5,2.5961,5.572,14.69,5,0,4.05,296,16.6,23.1,M,0.0
174,0.09178,0.510,84.1,2.6463,6.416,9.04,5,0,4.05,296,16.6,23.6,M,0.0
175,0.08447,0.510,68.7,2.7019,5.859,9.64,5,0,4.05,296,16.6,22.6,T,0.0
176,0.06664,0.510,33.1,3.1323,6.546,5.33,5,0,4.05,296,16.6,29.4,M,0.0
177,0.07022,0.510,47.2,3.5549,6.020,10.11,5,0,4.05,296,16.6,23.2,M,0.0
178,0.05425,0.510,73.4,3.3175,6.315,6.29,5,0,4.05,296,16.6,24.6,M,0.0
179,0.06642,0.510,74.4,2.9153,6.860,6.92,5,0,4.05,296,16.6,29.9,M,0.0
180,0.05780,0.488,58.4,2.8290,6.980,5.04,3,0,2.46,193,17.8,37.2,M,0.0
181,0.06588,0.488,83.3,2.7410,7.765,7.56,3,0,2.46,193,17.8,39.8,M,0.0
182,0.06888,0.488,62.2,2.5979,6.144,9.45,3,0,2.46,193,17.8,36.2,M,0.0
183,0.09103,0.488,92.2,2.7006,7.155,4.82,3,0,2.46,193,17.8,37.9,M,0.0
184,0.10008,0.488,95.6,2.8470,6.563,5.68,3,0,2.46,193,17.8,32.5,M,0.0
185,0.08308,0.488,89.8,2.9879,5.604,13.98,3,0,2.46,193,17.8,26.4,M,0.0
186,0.06047,0.488,68.8,3.2797,6.153,13.15,3,0,2.46,193,17.8,29.6,T,0.0
187,0.05602,0.488,53.6,3.1992,7.831,4.45,3,0,2.46,193,17.8,50.0,M,0.0
188,0.07875,0.437,41.1,3.7886,6.782,6.68,5,0,3.44,398,15.2,32.0,M,45.0
189,0.12579,0.437,29.1,4.5667,6.556,4.56,5,0,3.44,398,15.2,29.8,M,45.0
190,0.08370,0.437,38.9,4.5667,7.185,5.39,5,0,3.44,398,15.2,34.9,M,45.0
191,0.09068,0.437,21.5,6.4798,6.951,5.10,5,0,3.44,398,15.2,37.0,M,45.0
192,0.06911,0.437,30.8,6.4798,6.739,4.69,5,0,3.44,398,15.2,30.5,M,45.0
193,0.08664,0.437,26.3,6.4798,7.178,2.87,5,0,3.44,398,15.2,36.4,M,45.0
194,0.02187,0.401,9.9,6.2196,6.800,5.03,1,0,2.93,265,15.6,31.1,M,60.0
195,0.01439,0.401,18.8,6.2196,6.604,4.38,1,0,2.93,265,15.6,29.1,T,60.0
196,0.01381,0.422,32.0,5.6484,7.875,2.97,4,0,0.46,255,14.4,50.0,T,80.0
197,0.04011,0.404,34.1,7.3090,7.287,4.08,2,0,1.52,329,12.6,33.3,M,80.0
198,0.04666,0.404,36.6,7.3090,7.107,8.61,2,0,1.52,329,12.6,30.3,T,80.0
199,0.03768,0.404,38.3,7.3090,7.274,6.62,2,0,1.52,329,12.6,34.6,M,80.0
200,0.03150,0.403,15.3,7.6534,6.975,4.56,3,0,1.47,402,17.0,34.9,T,95.0
201,0.01778,0.403,13.9,7.6534,7.135,4.45,3,0,1.47,402,17.0,32.9,M,95.0
202,0.03445,0.415,38.4,6.2700,6.162,7.43,2,0,2.03,348,14.7,24.1,M,82.5
203,0.02177,0.415,15.7,6.2700,7.610,3.11,2,0,2.03,348,14.7,42.3,M,82.5
204,0.03510,0.416,33.2,5.1180,7.853,3.81,4,0,2.68,224,14.7,48.5,M,95.0
205,0.02009,0.416,31.9,5.1180,8.034,2.88,4,0,2.68,224,14.7,50.0,T,95.0
206,0.13642,0.489,22.3,3.9454,5.891,10.87,4,0,10.59,277,18.6,22.6,M,0.0
207,0.22969,0.489,52.5,4.3549,6.326,10.97,4,0,10.59,277,18.6,24.4,M,0.0
208,0.25199,0.489,72.7,4.3549,5.783,18.06,4,0,10.59,277,18.6,22.5,M,0.0
209,0.13587,0.489,59.1,4.2392,6.064,14.66,4,1,10.59,277,18.6,24.4,M,0.0
210,0.43571,0.489,100.0,3.8750,5.344,23.09,4,1,10.59,277,18.6,20.0,M,0.0
211,0.17446,0.489,92.1,3.8771,5.960,17.27,4,1,10.59,277,18.6,21.7,M,0.0
212,0.37578,0.489,88.6,3.6650,5.404,23.98,4,1,10.59,277,18.6,19.3,M,0.0
213,0.21719,0.489,53.8,3.6526,5.807,16.03,4,1,10.59,277,18.6,22.4,T,0.0
214,0.14052,0.489,32.3,3.9454,6.375,9.38,4,0,10.59,277,18.6,28.1,M,0.0
215,0.28955,0.489,9.8,3.5875,5.412,29.55,4,0,10.59,277,18.6,23.7,M,0.0
216,0.19802,0.489,42.4,3.9454,6.182,9.47,4,0,10.59,277,18.6,25.0,M,0.0
217,0.04560,0.550,56.0,3.1121,5.888,13.51,5,1,13.89,276,16.4,23.3,T,0.0
218,0.07013,0.550,85.1,3.4211,6.642,9.69,5,0,13.89,276,16.4,28.7,M,0.0
219,0.11069,0.550,93.8,2.8893,5.951,17.92,5,1,13.89,276,16.4,21.5,M,0.0
220,0.11425,0.550,92.4,3.3633,6.373,10.50,5,1,13.89,276,16.4,23.0,M,0.0
221,0.35809,0.507,88.5,2.8617,6.951,9.71,8,1,6.2,307,17.4,26.7,M,0.0
222,0.40771,0.507,91.3,3.0480,6.164,21.46,8,1,6.2,307,17.4,21.7,M,0.0
223,0.62356,0.507,77.7,3.2721,6.879,9.93,8,1,6.2,307,17.4,27.5,M,0.0
224,0.61470,0.507,80.8,3.2721,6.618,7.60,8,0,6.2,307,17.4,30.1,M,0.0
225,0.31533,0.504,78.3,2.8944,8.266,4.14,8,0,6.2,307,17.4,44.8,M,0.0
226,0.52693,0.504,83.0,2.8944,8.725,4.63,8,0,6.2,307,17.4,50.0,M,0.0
227,0.38214,0.504,86.5,3.2157,8.040,3.13,8,0,6.2,307,17.4,37.6,M,0.0
228,0.41238,0.504,79.9,3.2157,7.163,6.36,8,0,6.2,307,17.4,31.6,M,0.0
229,0.29819,0.504,17.0,3.3751,7.686,3.92,8,0,6.2,307,17.4,46.7,M,0.0
230,0.44178,0.504,21.4,3.3751,6.552,3.76,8,0,6.2,307,17.4,31.5,T,0.0
231,0.53700,0.504,68.1,3.6715,5.981,11.65,8,0,6.2,307,17.4,24.3,M,0.0
232,0.46296,0.504,76.9,3.6715,7.412,5.25,8,0,6.2,307,17.4,31.7,M,0.0
233,0.57529,0.507,73.3,3.8384,8.337,2.47,8,0,6.2,307,17.4,41.7,M,0.0
234,0.33147,0.507,70.4,3.6519,8.247,3.95,8,0,6.2,307,17.4,48.3,M,0.0
235,0.44791,0.507,66.5,3.6519,6.726,8.05,8,1,6.2,307,17.4,29.0,T,0.0
236,0.33045,0.507,61.5,3.6519,6.086,10.88,8,0,6.2,307,17.4,24.0,M,0.0
237,0.52058,0.507,76.5,4.1480,6.631,9.54,8,1,6.2,307,17.4,25.1,M,0.0
238,0.51183,0.507,71.6,4.1480,7.358,4.73,8,0,6.2,307,17.4,31.5,M,0.0
239,0.08244,0.428,18.5,6.1899,6.481,6.36,6,0,4.93,300,16.6,23.7,M,30.0
240,0.09252,0.428,42.2,6.1899,6.606,7.37,6,0,4.93,300,16.6,23.3,M,30.0
241,0.11329,0.428,54.3,6.3361,6.897,11.38,6,0,4.93,300,16.6,22.0,T,30.0
242,0.10612,0.428,65.1,6.3361,6.095,12.40,6,0,4.93,300,16.6,20.1,T,30.0
243,0.10290,0.428,52.9,7.0355,6.358,11.22,6,0,4.93,300,16.6,22.2,M,30.0
244,0.12757,0.428,7.8,7.0355,6.393,5.19,6,0,4.93,300,16.6,23.7,M,30.0
245,0.20608,0.431,76.5,7.9549,5.593,12.50,7,0,5.86,330,19.1,17.6,M,22.0
246,0.19133,0.431,70.2,7.9549,5.605,18.46,7,0,5.86,330,19.1,18.5,M,22.0
247,0.33983,0.431,34.9,8.0555,6.108,9.16,7,0,5.86,330,19.1,24.3,M,22.0
248,0.19657,0.431,79.2,8.0555,6.226,10.15,7,0,5.86,330,19.1,20.5,M,22.0
249,0.16439,0.431,49.1,7.8265,6.433,9.52,7,0,5.86,330,19.1,24.5,M,22.0
250,0.19073,0.431,17.5,7.8265,6.718,6.56,7,0,5.86,330,19.1,26.2,M,22.0
251,0.14030,0.431,13.0,7.3967,6.487,5.90,7,0,5.86,330,19.1,24.4,M,22.0
252,0.21409,0.431,8.9,7.3967,6.438,3.59,7,0,5.86,330,19.1,24.8,T,22.0
253,0.08221,0.431,6.8,8.9067,6.957,3.53,7,0,5.86,330,19.1,29.6,T,22.0
254,0.36894,0.431,8.4,8.9067,8.259,3.54,7,0,5.86,330,19.1,42.8,M,22.0
255,0.04819,0.392,32.0,9.2203,6.108,6.57,1,0,3.64,315,16.4,21.9,M,80.0
256,0.03548,0.392,19.1,9.2203,5.876,9.25,1,0,3.64,315,16.4,20.9,T,80.0
257,0.01538,0.394,34.2,6.3361,7.454,3.11,3,0,3.75,244,15.9,44.0,M,90.0
258,0.61154,0.647,86.9,1.8010,8.704,5.12,5,0,3.97,264,13.0,50.0,M,20.0
259,0.66351,0.647,100.0,1.8946,7.333,7.79,5,0,3.97,264,13.0,36.0,M,20.0
260,0.65665,0.647,100.0,2.0107,6.842,6.90,5,0,3.97,264,13.0,30.1,M,20.0
261,0.54011,0.647,81.8,2.1121,7.203,9.59,5,0,3.97,264,13.0,33.8,M,20.0
262,0.53412,0.647,89.4,2.1398,7.520,7.26,5,0,3.97,264,13.0,43.1,T,20.0
263,0.52014,0.647,91.5,2.2885,8.398,5.91,5,0,3.97,264,13.0,48.8,M,20.0
264,0.82526,0.647,94.5,2.0788,7.327,11.25,5,0,3.97,264,13.0,31.0,M,20.0
265,0.55007,0.647,91.6,1.9301,7.206,8.10,5,0,3.97,264,13.0,36.5,M,20.0
